breed,weight_kg,coat_length,coat_texture,coat_structure,matting_severity,behaviour,service,groomer_experience_years,actual_duration_minutes
LABRADOR_RETRIEVER,7.04,MEDIUM,WAVY,SINGLE,NONE,OKAY,FULL_GROOM_AND_CLIP,0.8,117
COCKER_SPANIEL,3.22,LONG,SMOOTH,SINGLE,NONE,VERY_GOOD,FULL_GROOM_AND_CLIP,10.1,140
COCKER_SPANIEL,16.75,LONG,WAVY,SINGLE,NONE,GOOD,TIDY_UP,14.0,102
COCKER_SPANIEL,11.36,SHORT,ROUGH,DOUBLE,SEVERE,OKAY,FULL_GROOM_AND_CLIP,0.1,243
COCKER_SPANIEL,3.86,SHORT,SILKY,DOUBLE,MILD,OKAY,FULL_GROOM_AND_CLIP,13.2,149
LABRADOR_RETRIEVER,24.86,LONG,SILKY,SINGLE,MODERATE,VERY_BAD,FULL_GROOM_AND_HAND_STRIP,4.0,251
COCKER_SPANIEL,29.95,SHORT,CURLY,DOUBLE,MILD,OKAY,FULL_GROOM_AND_HAND_STRIP,10.3,216
LABRADOR_RETRIEVER,36.31,SHORT,SMOOTH,DOUBLE,MODERATE,VERY_BAD,FULL_GROOM_AND_CLIP,5.0,196
COCKER_SPANIEL,25.85,MEDIUM,WAVY,DOUBLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_CLIP,1.7,237
COCKER_SPANIEL,22.28,MEDIUM,SILKY,SINGLE,SEVERE,BAD,FULL_GROOM_AND_CLIP,4.6,212
COCKER_SPANIEL,36.06,SHORT,ROUGH,SINGLE,NONE,OKAY,BATH_AND_DRY,14.6,80
COCKER_SPANIEL,34.72,SHORT,WIRY,SINGLE,MILD,OKAY,BATH_AND_DRY,12.0,56
COCKER_SPANIEL,11.41,LONG,SMOOTH,DOUBLE,NONE,GOOD,FULL_GROOM_AND_HAND_STRIP,3.0,212
COCKER_SPANIEL,9.69,LONG,WAVY,DOUBLE,MODERATE,OKAY,FULL_GROOM_AND_CLIP,14.5,188
LABRADOR_RETRIEVER,14.69,LONG,WIRY,DOUBLE,NONE,VERY_BAD,TIDY_UP,2.7,156
COCKER_SPANIEL,24.27,MEDIUM,ROUGH,DOUBLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_CLIP,5.8,207
COCKER_SPANIEL,10.93,LONG,WIRY,SINGLE,MILD,OKAY,BATH_AND_DRY,1.0,103
LABRADOR_RETRIEVER,26.87,SHORT,ROUGH,DOUBLE,MODERATE,GOOD,TIDY_UP,6.0,103
LABRADOR_RETRIEVER,22.62,SHORT,WIRY,DOUBLE,MILD,VERY_GOOD,TIDY_UP,6.1,101
COCKER_SPANIEL,17.77,LONG,SILKY,DOUBLE,SEVERE,GOOD,BATH_AND_DRY,10.1,129
LABRADOR_RETRIEVER,31.96,LONG,WAVY,SINGLE,MODERATE,VERY_GOOD,TIDY_UP,1.4,135
LABRADOR_RETRIEVER,9.76,SHORT,WAVY,SINGLE,NONE,BAD,BATH_AND_DRY,9.2,62
COCKER_SPANIEL,18.76,LONG,SILKY,SINGLE,SEVERE,GOOD,BATH_AND_DRY,3.7,129
COCKER_SPANIEL,31.36,SHORT,WAVY,DOUBLE,NONE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,13.8,184
COCKER_SPANIEL,18.8,MEDIUM,ROUGH,DOUBLE,SEVERE,VERY_GOOD,BATH_AND_DRY,12.5,99
LABRADOR_RETRIEVER,18.55,SHORT,ROUGH,DOUBLE,SEVERE,BAD,TIDY_UP,6.6,141
LABRADOR_RETRIEVER,10.15,MEDIUM,CURLY,SINGLE,MILD,BAD,FULL_GROOM_AND_HAND_STRIP,5.7,206
LABRADOR_RETRIEVER,16.9,LONG,WIRY,DOUBLE,NONE,BAD,BATH_AND_DRY,5.8,119
COCKER_SPANIEL,34.41,LONG,WIRY,DOUBLE,NONE,OKAY,TIDY_UP,11.3,152
LABRADOR_RETRIEVER,21.99,LONG,SILKY,SINGLE,SEVERE,BAD,TIDY_UP,6.5,125
COCKER_SPANIEL,16.17,LONG,ROUGH,DOUBLE,MILD,GOOD,FULL_GROOM_AND_HAND_STRIP,14.7,183
COCKER_SPANIEL,4.27,MEDIUM,WAVY,DOUBLE,MILD,VERY_BAD,TIDY_UP,5.7,128
COCKER_SPANIEL,18.73,MEDIUM,WIRY,DOUBLE,SEVERE,OKAY,FULL_GROOM_AND_CLIP,7.1,215
LABRADOR_RETRIEVER,9.74,SHORT,ROUGH,SINGLE,NONE,BAD,FULL_GROOM_AND_HAND_STRIP,12.6,170
COCKER_SPANIEL,10.3,MEDIUM,ROUGH,SINGLE,MILD,GOOD,TIDY_UP,11.5,110
COCKER_SPANIEL,31.33,SHORT,CURLY,SINGLE,NONE,OKAY,BATH_AND_DRY,5.9,98
COCKER_SPANIEL,3.96,LONG,ROUGH,SINGLE,NONE,OKAY,FULL_GROOM_AND_CLIP,11.9,151
LABRADOR_RETRIEVER,26.8,SHORT,SILKY,DOUBLE,NONE,GOOD,BATH_AND_DRY,1.6,78
LABRADOR_RETRIEVER,25.79,MEDIUM,ROUGH,SINGLE,SEVERE,BAD,TIDY_UP,9.2,173
LABRADOR_RETRIEVER,17.99,LONG,SILKY,DOUBLE,MODERATE,BAD,FULL_GROOM_AND_CLIP,4.2,197
LABRADOR_RETRIEVER,10.51,MEDIUM,SILKY,DOUBLE,MODERATE,VERY_BAD,BATH_AND_DRY,12.8,139
LABRADOR_RETRIEVER,14.27,LONG,ROUGH,DOUBLE,NONE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,1.3,209
LABRADOR_RETRIEVER,20.05,SHORT,ROUGH,DOUBLE,SEVERE,GOOD,FULL_GROOM_AND_CLIP,1.4,209
LABRADOR_RETRIEVER,26.89,MEDIUM,WIRY,DOUBLE,SEVERE,VERY_GOOD,TIDY_UP,5.3,163
LABRADOR_RETRIEVER,11.57,MEDIUM,WAVY,SINGLE,MILD,OKAY,FULL_GROOM_AND_CLIP,11.1,172
COCKER_SPANIEL,9.44,MEDIUM,CURLY,DOUBLE,NONE,BAD,TIDY_UP,3.4,118
COCKER_SPANIEL,12.79,LONG,SILKY,SINGLE,MODERATE,VERY_BAD,FULL_GROOM_AND_CLIP,8.3,212
LABRADOR_RETRIEVER,5.0,SHORT,SILKY,DOUBLE,SEVERE,GOOD,BATH_AND_DRY,5.1,93
COCKER_SPANIEL,10.85,MEDIUM,SMOOTH,SINGLE,SEVERE,GOOD,FULL_GROOM_AND_CLIP,8.7,182
LABRADOR_RETRIEVER,4.32,SHORT,SMOOTH,DOUBLE,MILD,VERY_GOOD,BATH_AND_DRY,6.8,47
LABRADOR_RETRIEVER,12.6,LONG,WIRY,DOUBLE,NONE,VERY_GOOD,FULL_GROOM_AND_CLIP,14.2,163
COCKER_SPANIEL,7.13,SHORT,SILKY,SINGLE,MILD,VERY_BAD,BATH_AND_DRY,6.8,110
LABRADOR_RETRIEVER,12.36,SHORT,CURLY,DOUBLE,SEVERE,VERY_BAD,FULL_GROOM_AND_HAND_STRIP,13.9,260
COCKER_SPANIEL,17.58,LONG,WAVY,SINGLE,MODERATE,BAD,FULL_GROOM_AND_CLIP,0.9,195
LABRADOR_RETRIEVER,24.21,LONG,CURLY,DOUBLE,NONE,GOOD,TIDY_UP,10.5,127
LABRADOR_RETRIEVER,18.07,LONG,SMOOTH,DOUBLE,MODERATE,VERY_GOOD,TIDY_UP,0.4,124
COCKER_SPANIEL,38.51,LONG,SILKY,SINGLE,MODERATE,VERY_GOOD,FULL_GROOM_AND_CLIP,11.4,193
LABRADOR_RETRIEVER,36.73,SHORT,SILKY,DOUBLE,SEVERE,VERY_BAD,BATH_AND_DRY,5.2,171
LABRADOR_RETRIEVER,13.52,SHORT,WAVY,DOUBLE,SEVERE,GOOD,TIDY_UP,9.9,104
COCKER_SPANIEL,18.74,MEDIUM,CURLY,DOUBLE,NONE,GOOD,FULL_GROOM_AND_CLIP,9.9,180
LABRADOR_RETRIEVER,17.12,SHORT,SILKY,DOUBLE,SEVERE,GOOD,FULL_GROOM_AND_CLIP,3.1,157
LABRADOR_RETRIEVER,35.35,MEDIUM,SMOOTH,SINGLE,MILD,BAD,TIDY_UP,8.3,100
LABRADOR_RETRIEVER,4.64,SHORT,WIRY,SINGLE,MILD,GOOD,TIDY_UP,7.6,66
LABRADOR_RETRIEVER,10.51,LONG,WAVY,DOUBLE,MILD,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,13.0,223
LABRADOR_RETRIEVER,31.13,MEDIUM,CURLY,DOUBLE,NONE,OKAY,TIDY_UP,12.6,91
COCKER_SPANIEL,18.42,MEDIUM,CURLY,DOUBLE,SEVERE,GOOD,TIDY_UP,13.0,139
COCKER_SPANIEL,23.3,SHORT,WIRY,SINGLE,MODERATE,GOOD,BATH_AND_DRY,5.8,81
COCKER_SPANIEL,20.32,SHORT,WAVY,DOUBLE,NONE,GOOD,FULL_GROOM_AND_CLIP,7.9,131
LABRADOR_RETRIEVER,1.6,SHORT,WIRY,SINGLE,NONE,GOOD,TIDY_UP,5.1,52
LABRADOR_RETRIEVER,34.24,LONG,WIRY,DOUBLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_CLIP,9.3,195
COCKER_SPANIEL,25.62,MEDIUM,WAVY,SINGLE,SEVERE,VERY_BAD,FULL_GROOM_AND_CLIP,6.7,219
COCKER_SPANIEL,13.65,SHORT,CURLY,DOUBLE,MODERATE,GOOD,FULL_GROOM_AND_HAND_STRIP,3.7,185
LABRADOR_RETRIEVER,23.07,SHORT,WAVY,SINGLE,NONE,VERY_GOOD,BATH_AND_DRY,9.3,52
COCKER_SPANIEL,10.06,LONG,CURLY,DOUBLE,MODERATE,VERY_BAD,BATH_AND_DRY,13.5,193
COCKER_SPANIEL,3.88,MEDIUM,SILKY,DOUBLE,SEVERE,OKAY,BATH_AND_DRY,12.7,130
LABRADOR_RETRIEVER,5.16,MEDIUM,SILKY,DOUBLE,MODERATE,OKAY,FULL_GROOM_AND_CLIP,14.7,189
LABRADOR_RETRIEVER,11.7,LONG,ROUGH,SINGLE,SEVERE,OKAY,FULL_GROOM_AND_HAND_STRIP,9.1,217
LABRADOR_RETRIEVER,27.43,LONG,ROUGH,SINGLE,NONE,VERY_BAD,TIDY_UP,11.8,147
COCKER_SPANIEL,23.6,LONG,WAVY,SINGLE,MODERATE,OKAY,BATH_AND_DRY,2.6,133
LABRADOR_RETRIEVER,21.7,MEDIUM,WAVY,DOUBLE,SEVERE,OKAY,TIDY_UP,12.1,159
LABRADOR_RETRIEVER,38.55,SHORT,WAVY,DOUBLE,MODERATE,VERY_BAD,BATH_AND_DRY,0.2,134
LABRADOR_RETRIEVER,23.8,LONG,CURLY,SINGLE,MILD,GOOD,FULL_GROOM_AND_CLIP,9.3,161
LABRADOR_RETRIEVER,36.69,SHORT,ROUGH,SINGLE,SEVERE,OKAY,BATH_AND_DRY,1.8,129
LABRADOR_RETRIEVER,5.53,SHORT,SILKY,SINGLE,SEVERE,GOOD,TIDY_UP,10.1,106
LABRADOR_RETRIEVER,23.91,LONG,WAVY,DOUBLE,NONE,GOOD,BATH_AND_DRY,14.1,86
COCKER_SPANIEL,18.29,SHORT,CURLY,SINGLE,MODERATE,VERY_GOOD,TIDY_UP,0.9,138
LABRADOR_RETRIEVER,8.4,SHORT,WIRY,SINGLE,MILD,VERY_GOOD,FULL_GROOM_AND_CLIP,0.8,122
COCKER_SPANIEL,3.68,LONG,WAVY,SINGLE,MILD,OKAY,FULL_GROOM_AND_HAND_STRIP,11.8,229
COCKER_SPANIEL,11.81,SHORT,WAVY,DOUBLE,MILD,VERY_BAD,FULL_GROOM_AND_CLIP,2.0,188
LABRADOR_RETRIEVER,1.62,MEDIUM,SMOOTH,SINGLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_CLIP,11.2,181
LABRADOR_RETRIEVER,18.48,MEDIUM,SILKY,SINGLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,14.2,230
LABRADOR_RETRIEVER,18.86,SHORT,SMOOTH,DOUBLE,SEVERE,GOOD,FULL_GROOM_AND_CLIP,7.4,187
LABRADOR_RETRIEVER,3.87,SHORT,CURLY,SINGLE,NONE,BAD,TIDY_UP,9.4,60
LABRADOR_RETRIEVER,39.79,LONG,CURLY,DOUBLE,SEVERE,VERY_BAD,FULL_GROOM_AND_CLIP,12.8,243
COCKER_SPANIEL,17.77,SHORT,WIRY,DOUBLE,SEVERE,GOOD,BATH_AND_DRY,10.9,120
LABRADOR_RETRIEVER,15.6,SHORT,ROUGH,DOUBLE,NONE,VERY_BAD,FULL_GROOM_AND_CLIP,1.4,202
COCKER_SPANIEL,30.04,MEDIUM,WAVY,SINGLE,MODERATE,VERY_BAD,BATH_AND_DRY,5.3,127
COCKER_SPANIEL,38.77,LONG,CURLY,DOUBLE,NONE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,2.3,193
LABRADOR_RETRIEVER,9.75,SHORT,CURLY,DOUBLE,NONE,OKAY,FULL_GROOM_AND_HAND_STRIP,12.1,198
COCKER_SPANIEL,24.75,LONG,ROUGH,DOUBLE,NONE,BAD,TIDY_UP,10.5,106
LABRADOR_RETRIEVER,36.94,MEDIUM,SMOOTH,SINGLE,MILD,VERY_GOOD,BATH_AND_DRY,1.0,78
COCKER_SPANIEL,30.1,SHORT,WIRY,DOUBLE,SEVERE,OKAY,FULL_GROOM_AND_HAND_STRIP,5.6,205
LABRADOR_RETRIEVER,31.3,LONG,SILKY,SINGLE,NONE,BAD,FULL_GROOM_AND_HAND_STRIP,11.3,211
LABRADOR_RETRIEVER,26.82,MEDIUM,SILKY,DOUBLE,SEVERE,OKAY,FULL_GROOM_AND_HAND_STRIP,11.3,237
COCKER_SPANIEL,14.46,SHORT,CURLY,DOUBLE,MODERATE,VERY_BAD,FULL_GROOM_AND_HAND_STRIP,5.9,243
LABRADOR_RETRIEVER,37.87,SHORT,CURLY,DOUBLE,MODERATE,VERY_BAD,FULL_GROOM_AND_CLIP,7.5,214
LABRADOR_RETRIEVER,7.85,MEDIUM,SILKY,SINGLE,MODERATE,VERY_BAD,BATH_AND_DRY,12.9,118
COCKER_SPANIEL,34.62,LONG,WIRY,DOUBLE,SEVERE,OKAY,FULL_GROOM_AND_CLIP,6.1,236
LABRADOR_RETRIEVER,7.7,LONG,WIRY,DOUBLE,NONE,GOOD,FULL_GROOM_AND_CLIP,3.6,149
LABRADOR_RETRIEVER,34.95,LONG,CURLY,SINGLE,MODERATE,BAD,FULL_GROOM_AND_CLIP,7.7,195
COCKER_SPANIEL,21.69,SHORT,CURLY,DOUBLE,MILD,BAD,FULL_GROOM_AND_CLIP,2.2,202
COCKER_SPANIEL,7.91,LONG,WIRY,DOUBLE,SEVERE,VERY_GOOD,TIDY_UP,13.0,169
LABRADOR_RETRIEVER,6.89,SHORT,WIRY,DOUBLE,MODERATE,OKAY,FULL_GROOM_AND_CLIP,5.3,185
COCKER_SPANIEL,3.22,MEDIUM,SMOOTH,SINGLE,SEVERE,GOOD,FULL_GROOM_AND_CLIP,6.7,183
COCKER_SPANIEL,13.54,MEDIUM,SILKY,SINGLE,NONE,GOOD,FULL_GROOM_AND_CLIP,12.2,167
COCKER_SPANIEL,20.68,SHORT,SMOOTH,SINGLE,SEVERE,GOOD,FULL_GROOM_AND_HAND_STRIP,5.5,174
LABRADOR_RETRIEVER,16.11,MEDIUM,ROUGH,SINGLE,MODERATE,VERY_BAD,TIDY_UP,1.4,145
COCKER_SPANIEL,14.0,LONG,ROUGH,SINGLE,MODERATE,OKAY,BATH_AND_DRY,1.9,114
COCKER_SPANIEL,13.07,MEDIUM,ROUGH,DOUBLE,MILD,VERY_GOOD,FULL_GROOM_AND_CLIP,9.7,157
LABRADOR_RETRIEVER,13.05,SHORT,CURLY,DOUBLE,MILD,BAD,FULL_GROOM_AND_HAND_STRIP,2.3,217
LABRADOR_RETRIEVER,33.93,SHORT,SILKY,SINGLE,MODERATE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,9.0,190
COCKER_SPANIEL,29.13,SHORT,WIRY,DOUBLE,MILD,GOOD,TIDY_UP,11.3,118
LABRADOR_RETRIEVER,10.13,SHORT,CURLY,DOUBLE,MILD,OKAY,BATH_AND_DRY,6.9,82
LABRADOR_RETRIEVER,38.68,SHORT,SILKY,SINGLE,MODERATE,VERY_BAD,BATH_AND_DRY,13.1,134
COCKER_SPANIEL,28.74,LONG,SMOOTH,DOUBLE,NONE,BAD,TIDY_UP,6.7,102
COCKER_SPANIEL,37.91,SHORT,WIRY,DOUBLE,NONE,GOOD,FULL_GROOM_AND_CLIP,5.9,163
LABRADOR_RETRIEVER,10.2,SHORT,CURLY,SINGLE,NONE,OKAY,FULL_GROOM_AND_CLIP,12.6,119
COCKER_SPANIEL,2.49,MEDIUM,ROUGH,SINGLE,SEVERE,GOOD,FULL_GROOM_AND_CLIP,13.6,164
COCKER_SPANIEL,10.98,SHORT,SILKY,DOUBLE,NONE,OKAY,FULL_GROOM_AND_HAND_STRIP,4.5,205
LABRADOR_RETRIEVER,3.45,MEDIUM,SILKY,SINGLE,MILD,BAD,TIDY_UP,6.4,100
LABRADOR_RETRIEVER,10.38,MEDIUM,WAVY,SINGLE,MODERATE,VERY_BAD,FULL_GROOM_AND_CLIP,5.9,174
LABRADOR_RETRIEVER,10.89,SHORT,CURLY,SINGLE,MODERATE,BAD,FULL_GROOM_AND_CLIP,11.6,179
LABRADOR_RETRIEVER,6.2,MEDIUM,SILKY,DOUBLE,MILD,GOOD,BATH_AND_DRY,9.5,82
LABRADOR_RETRIEVER,2.44,SHORT,SMOOTH,SINGLE,NONE,OKAY,TIDY_UP,7.7,50
LABRADOR_RETRIEVER,10.88,LONG,WAVY,DOUBLE,MODERATE,VERY_BAD,TIDY_UP,4.1,170
LABRADOR_RETRIEVER,29.99,MEDIUM,CURLY,SINGLE,SEVERE,GOOD,TIDY_UP,13.9,115
LABRADOR_RETRIEVER,32.24,LONG,WIRY,SINGLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,8.2,227
LABRADOR_RETRIEVER,12.95,LONG,ROUGH,DOUBLE,MILD,GOOD,TIDY_UP,6.7,121
LABRADOR_RETRIEVER,24.98,MEDIUM,CURLY,SINGLE,NONE,GOOD,TIDY_UP,7.7,85
COCKER_SPANIEL,6.57,LONG,ROUGH,DOUBLE,NONE,BAD,FULL_GROOM_AND_CLIP,3.5,186
LABRADOR_RETRIEVER,15.12,LONG,SMOOTH,SINGLE,SEVERE,OKAY,TIDY_UP,6.7,137
LABRADOR_RETRIEVER,16.52,LONG,CURLY,SINGLE,NONE,VERY_BAD,FULL_GROOM_AND_HAND_STRIP,7.5,219
LABRADOR_RETRIEVER,36.63,SHORT,CURLY,DOUBLE,SEVERE,BAD,TIDY_UP,10.4,170
COCKER_SPANIEL,34.26,MEDIUM,WAVY,DOUBLE,NONE,OKAY,TIDY_UP,10.6,115
LABRADOR_RETRIEVER,35.76,SHORT,ROUGH,SINGLE,MODERATE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,1.8,202
LABRADOR_RETRIEVER,2.03,LONG,SILKY,DOUBLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,9.2,228
COCKER_SPANIEL,3.56,MEDIUM,ROUGH,DOUBLE,SEVERE,GOOD,FULL_GROOM_AND_CLIP,1.9,208
LABRADOR_RETRIEVER,27.52,MEDIUM,WAVY,SINGLE,MILD,GOOD,FULL_GROOM_AND_CLIP,12.5,155
COCKER_SPANIEL,12.86,SHORT,CURLY,SINGLE,MODERATE,VERY_GOOD,TIDY_UP,12.7,100
LABRADOR_RETRIEVER,5.88,MEDIUM,SILKY,SINGLE,MILD,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,2.6,191
LABRADOR_RETRIEVER,33.86,LONG,SMOOTH,SINGLE,NONE,VERY_BAD,TIDY_UP,9.8,127
COCKER_SPANIEL,20.42,LONG,SILKY,DOUBLE,MODERATE,GOOD,FULL_GROOM_AND_HAND_STRIP,12.1,215
LABRADOR_RETRIEVER,12.6,SHORT,ROUGH,SINGLE,MILD,GOOD,BATH_AND_DRY,7.3,71
LABRADOR_RETRIEVER,34.6,MEDIUM,ROUGH,DOUBLE,SEVERE,BAD,TIDY_UP,7.7,190
COCKER_SPANIEL,13.45,MEDIUM,SMOOTH,DOUBLE,SEVERE,BAD,FULL_GROOM_AND_HAND_STRIP,1.5,256
LABRADOR_RETRIEVER,10.68,SHORT,CURLY,DOUBLE,MILD,BAD,BATH_AND_DRY,14.9,114
LABRADOR_RETRIEVER,20.45,MEDIUM,WIRY,SINGLE,NONE,GOOD,BATH_AND_DRY,14.5,73
COCKER_SPANIEL,11.97,LONG,ROUGH,DOUBLE,MODERATE,VERY_GOOD,FULL_GROOM_AND_CLIP,12.7,209
LABRADOR_RETRIEVER,6.22,MEDIUM,ROUGH,DOUBLE,SEVERE,OKAY,FULL_GROOM_AND_CLIP,6.0,191
LABRADOR_RETRIEVER,3.87,LONG,WIRY,DOUBLE,NONE,BAD,FULL_GROOM_AND_CLIP,5.9,171
LABRADOR_RETRIEVER,22.76,MEDIUM,WAVY,SINGLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_CLIP,0.7,204
LABRADOR_RETRIEVER,21.25,SHORT,SILKY,SINGLE,MODERATE,VERY_GOOD,TIDY_UP,2.4,105
LABRADOR_RETRIEVER,24.16,LONG,SILKY,DOUBLE,MODERATE,GOOD,FULL_GROOM_AND_CLIP,5.5,171
LABRADOR_RETRIEVER,32.07,LONG,ROUGH,SINGLE,SEVERE,OKAY,FULL_GROOM_AND_HAND_STRIP,10.8,203
LABRADOR_RETRIEVER,7.65,LONG,ROUGH,DOUBLE,MILD,BAD,FULL_GROOM_AND_CLIP,8.6,187
LABRADOR_RETRIEVER,13.23,SHORT,WIRY,SINGLE,SEVERE,VERY_GOOD,BATH_AND_DRY,13.1,86
COCKER_SPANIEL,28.53,LONG,WAVY,DOUBLE,SEVERE,VERY_GOOD,BATH_AND_DRY,4.7,160
LABRADOR_RETRIEVER,22.3,LONG,ROUGH,DOUBLE,SEVERE,BAD,FULL_GROOM_AND_HAND_STRIP,4.2,299
LABRADOR_RETRIEVER,9.77,MEDIUM,CURLY,SINGLE,SEVERE,OKAY,BATH_AND_DRY,5.2,134
LABRADOR_RETRIEVER,12.22,LONG,ROUGH,DOUBLE,SEVERE,OKAY,FULL_GROOM_AND_HAND_STRIP,4.4,239
LABRADOR_RETRIEVER,38.26,SHORT,CURLY,DOUBLE,MODERATE,GOOD,FULL_GROOM_AND_HAND_STRIP,3.0,181
LABRADOR_RETRIEVER,6.35,LONG,ROUGH,SINGLE,MILD,VERY_BAD,FULL_GROOM_AND_HAND_STRIP,9.6,212
COCKER_SPANIEL,4.91,MEDIUM,ROUGH,DOUBLE,NONE,BAD,FULL_GROOM_AND_CLIP,14.5,184
LABRADOR_RETRIEVER,19.62,SHORT,CURLY,DOUBLE,MODERATE,VERY_BAD,FULL_GROOM_AND_CLIP,9.8,204
COCKER_SPANIEL,21.87,LONG,SMOOTH,SINGLE,SEVERE,BAD,FULL_GROOM_AND_CLIP,15.0,206
LABRADOR_RETRIEVER,35.19,SHORT,CURLY,SINGLE,MODERATE,OKAY,BATH_AND_DRY,14.8,106
LABRADOR_RETRIEVER,35.68,SHORT,SILKY,DOUBLE,MODERATE,BAD,FULL_GROOM_AND_CLIP,5.0,197
COCKER_SPANIEL,1.55,MEDIUM,CURLY,SINGLE,MILD,VERY_GOOD,BATH_AND_DRY,12.4,48
LABRADOR_RETRIEVER,4.38,LONG,SMOOTH,SINGLE,MILD,GOOD,TIDY_UP,14.0,95
LABRADOR_RETRIEVER,30.4,MEDIUM,CURLY,SINGLE,MODERATE,OKAY,FULL_GROOM_AND_HAND_STRIP,0.9,226
COCKER_SPANIEL,19.15,SHORT,WIRY,DOUBLE,NONE,OKAY,TIDY_UP,9.2,102
COCKER_SPANIEL,18.74,LONG,CURLY,DOUBLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,11.4,253
COCKER_SPANIEL,21.49,LONG,ROUGH,DOUBLE,NONE,VERY_GOOD,FULL_GROOM_AND_CLIP,0.9,173
COCKER_SPANIEL,7.42,LONG,WIRY,SINGLE,MILD,VERY_GOOD,BATH_AND_DRY,1.4,90
